Date,Open,High,Low,Close,Adj Close,Volume
2010-11-29,57.599998,59.000000,57.599998,58.889999,54.060696,46800
2010-11-30,58.990002,58.990002,57.919998,58.500000,53.702682,148000
2010-12-01,59.389999,59.389999,58.009998,58.470001,53.675148,36800
2010-12-02,57.810001,58.560001,57.560001,58.169998,53.399746,19200
2010-12-03,57.689999,59.250000,57.689999,59.130001,54.281021,15500
2010-12-06,58.779999,60.459999,58.150002,58.520000,53.721043,53500
2010-12-07,59.270000,59.470001,58.759998,58.919998,54.088242,60700
2010-12-08,59.000000,59.119999,58.590000,58.959999,54.124962,19900
2010-12-09,59.160000,59.160000,58.349998,58.450001,53.656796,24300
2010-12-10,58.700001,58.860001,58.400002,58.779999,53.959724,19300
2010-12-13,58.709999,58.869999,58.349998,58.349998,53.564983,14300
2010-12-14,58.779999,58.779999,57.860001,58.009998,53.252861,28900
2010-12-15,57.849998,58.490002,56.889999,56.889999,52.224709,60900
2010-12-16,57.000000,58.250000,56.810001,58.070000,53.307945,16000
2010-12-17,57.970001,58.180000,57.410000,57.840000,53.096802,29300
2010-12-20,57.759998,58.000000,57.500000,57.680000,52.949921,23700
2010-12-21,57.750000,57.939999,57.430000,57.660000,52.931568,16500
2010-12-22,57.590000,57.590000,56.509998,57.150002,52.463390,10900
2010-12-23,57.060001,57.660000,56.180000,56.860001,52.197166,27700
2010-12-27,56.790001,57.500000,56.500000,57.310001,52.610275,5100
2010-12-28,57.160000,57.200001,56.860001,56.950001,52.279785,16500
2010-12-29,57.000000,57.310001,56.500000,56.570000,51.930950,18000
2010-12-30,56.630001,56.630001,56.119999,56.119999,51.517857,5700
2010-12-31,56.110001,56.299999,54.910000,55.580002,51.022156,42200
2011-01-03,55.740002,57.130001,55.049999,56.950001,52.279785,22800
2011-01-04,57.259998,57.290001,56.419998,56.439999,51.811619,13900
2011-01-05,56.630001,57.070000,56.360001,56.700001,52.050297,19400
2011-01-06,56.750000,56.750000,55.500000,56.060001,51.462780,30600
2011-01-07,56.029999,56.250000,55.630001,56.000000,51.407692,17200
2011-01-10,56.080002,56.160000,55.549999,55.779999,51.205734,17700
2011-01-11,55.900002,55.900002,55.189999,55.830002,51.251648,14100
2011-01-12,56.220001,56.220001,55.810001,56.070000,51.471954,39800
2011-01-13,56.299999,56.299999,55.980000,56.020000,51.426056,17800
2011-01-14,56.080002,56.259998,55.689999,56.040001,51.444420,28700
2011-01-18,56.470001,56.470001,55.810001,56.119999,51.517857,8700
2011-01-19,56.150002,56.150002,54.270000,54.509998,50.039886,17000
2011-01-20,55.000000,55.689999,54.549999,54.730000,50.241844,42900
2011-01-21,55.009998,56.330002,54.340000,54.360001,49.902187,55000
2011-01-24,54.560001,55.869999,54.560001,55.770000,51.196556,40000
2011-01-25,55.660000,55.689999,54.310001,54.720001,50.232658,36800
2011-01-26,54.889999,55.669998,54.450001,55.610001,51.049679,29200
2011-01-27,55.669998,55.759998,54.900002,55.000000,50.489700,16000
2011-01-28,55.220001,55.500000,53.209999,53.410000,49.030087,44500
2011-01-31,53.900002,54.830002,53.610001,54.020000,49.590073,15300
2011-02-01,54.459999,55.689999,54.459999,55.330002,50.792641,10500
2011-02-02,55.549999,55.840000,54.810001,54.970001,50.462151,13500
2011-02-03,54.990002,55.090000,53.770000,53.830002,49.641418,23000
2011-02-04,53.830002,53.939999,52.799999,53.160000,49.023552,15900
2011-02-07,53.419998,54.279999,53.099998,53.970001,49.770519,12800
2011-02-08,54.000000,54.090000,53.349998,54.009998,49.807407,11800
2011-02-09,54.500000,54.869999,53.400002,53.950001,49.752083,30900
2011-02-10,53.540001,55.000000,53.540001,54.810001,50.545162,23200
2011-02-11,54.580002,55.220001,54.139999,55.220001,50.923264,23600
2011-02-14,55.330002,55.470001,54.630001,54.700001,50.443710,11100
2011-02-15,54.759998,54.959999,54.540001,54.740002,50.480606,5900
2011-02-16,54.980000,54.980000,54.330002,54.680000,50.425285,7600
2011-02-17,54.599998,55.349998,54.290001,55.169998,50.877140,11400
2011-02-18,55.369999,55.500000,54.759998,55.130001,50.840252,28700
2011-02-22,54.970001,55.450001,54.750000,55.020000,50.738827,47500
2011-02-23,54.889999,55.360001,54.889999,55.040001,50.757271,17600
2011-02-24,55.250000,55.450001,55.000000,55.290001,50.987816,16100
2011-02-25,55.279999,55.680000,55.070000,55.680000,51.347458,6900
2011-02-28,56.160000,57.700001,55.930000,57.700001,53.210289,56400
2011-03-01,57.919998,58.000000,55.520000,57.310001,52.850628,120800
2011-03-02,57.029999,57.830002,57.000000,57.560001,53.081169,18400
2011-03-03,57.990002,58.360001,57.639999,58.360001,53.818935,28400
2011-03-04,58.380001,59.090000,58.310001,59.090000,54.492126,11700
2011-03-07,59.250000,59.299999,58.330002,58.660000,54.095585,11400
2011-03-08,58.830002,59.459999,58.730000,59.459999,54.833328,6300
2011-03-09,59.099998,59.919998,59.060001,59.389999,54.768784,9000
2011-03-10,59.980000,59.980000,59.020000,59.259998,54.648914,17900
2011-03-11,59.009998,59.959999,59.009998,59.049999,54.455238,12200
2011-03-14,58.970001,59.849998,58.500000,59.250000,54.639675,29700
2011-03-15,58.750000,59.330002,58.750000,59.099998,54.501347,13700
2011-03-16,59.230000,59.630001,58.939999,59.299999,54.685795,23900
2011-03-17,59.950001,60.720001,59.450001,60.020000,55.349758,39600
2011-03-18,60.360001,61.490002,59.869999,61.040001,56.290405,45000
2011-03-21,61.189999,62.680000,61.070000,62.650002,57.775120,17600
2011-03-22,63.000000,63.990002,61.950001,63.910000,58.937077,39600
2011-03-23,63.630001,65.379997,63.480000,65.260002,60.182045,29400
2011-03-24,65.300003,65.900002,65.279999,65.750000,60.633900,13900
2011-03-25,65.730003,66.820000,65.269997,65.519997,60.421783,45400
2011-03-28,65.820000,65.980003,64.510002,65.160004,60.089828,45100
2011-03-29,64.970001,65.470001,64.639999,65.470001,60.375687,49700
2011-03-30,65.570000,65.790001,64.760002,65.760002,60.643127,27900
2011-03-31,65.709999,67.000000,65.309998,66.839996,61.639084,17600
2011-04-01,66.879997,67.379997,66.199997,66.790001,61.592972,67000
2011-04-04,67.040001,68.739998,66.500000,68.610001,63.271355,100400
2011-04-05,68.599998,72.389999,67.129997,71.930000,66.333000,40900
2011-04-06,73.029999,74.580002,70.000000,73.650002,67.919189,62000
2011-04-07,74.440002,75.760002,72.379997,74.150002,68.380295,65600
2011-04-08,74.730003,76.230003,73.940002,75.699997,69.809685,54400
2011-04-11,76.220001,76.220001,74.750000,75.230003,69.376251,20700
2011-04-12,75.110001,76.320000,75.110001,75.529999,69.652916,23600
2011-04-13,75.690002,76.040001,71.830002,72.169998,66.554352,97500
2011-04-14,72.150002,73.739998,70.510002,71.500000,65.936470,67300
2011-04-15,71.349998,72.629997,70.150002,72.199997,66.582008,35900
2011-04-18,71.529999,71.629997,70.529999,71.389999,65.835060,40100
2011-04-19,71.459999,72.559998,71.250000,72.309998,66.683464,32200
2011-04-20,72.949997,73.150002,71.410004,71.620003,66.047150,22100
2011-04-21,71.889999,71.889999,69.209999,70.730003,65.226395,55200
2011-04-25,70.949997,71.620003,68.629997,71.620003,66.047150,33400
2011-04-26,71.699997,72.550003,71.129997,71.360001,65.807381,22700
2011-04-27,71.589996,72.139999,70.650002,70.760002,65.254059,39000
2011-04-28,69.769997,70.599998,69.000000,70.529999,65.041977,19000
2011-04-29,70.529999,71.760002,70.239998,70.449997,64.968185,15000
